idSequence,vlMin,vlMax,vlMean,vlStd,vlNonZero,dtInit,dtEnd
1,0.0,64.76000213623047,1.6705136321859058,3.4625028569512706,112166,2023-01-02 00:00:00,2023-01-02 09:30:00
2,0.0,64.76000213623047,1.625355871460954,3.4132703035086784,114113,2023-01-02 00:30:00,2023-01-02 10:00:00
3,0.0,64.76000213623047,1.5284126442558221,3.1998710803990154,117558,2023-01-02 01:00:00,2023-01-02 10:30:00
4,0.0,59.0,1.4533284203625445,2.9962523000564945,121507,2023-01-02 01:30:00,2023-01-02 11:00:00
5,0.0,59.0,1.4484660119365973,3.022824099804913,122560,2023-01-02 02:00:00,2023-01-02 11:30:00
6,0.0,59.0,1.4508327751365258,3.059273278506782,123181,2023-01-02 02:30:00,2023-01-02 12:00:00
7,0.0,59.0,1.4588566539678522,3.088554985795935,123441,2023-01-02 03:00:00,2023-01-02 12:30:00
8,0.0,59.0,1.4586176807123459,3.1016214437259277,124050,2023-01-02 03:30:00,2023-01-02 13:00:00
9,0.0,59.0,1.4629114663921874,3.1155515075219613,123999,2023-01-02 04:00:00,2023-01-02 13:30:00
10,0.0,59.0,1.4561676839978233,3.11296305701971,125051,2023-01-02 04:30:00,2023-01-02 14:00:00
11,0.0,59.0,1.387490818990781,2.9372479169288694,128717,2023-01-02 05:00:00,2023-01-02 14:30:00
12,0.0,55.41999816894531,1.3231382931076632,2.7544417042858202,132349,2023-01-02 05:30:00,2023-01-02 15:00:00
13,0.0,55.41999816894531,1.2950472886404067,2.699076946237942,132624,2023-01-02 06:00:00,2023-01-02 15:30:00
14,0.0,55.41999816894531,1.2901769800434055,2.6825455762950514,132793,2023-01-02 06:30:00,2023-01-02 16:00:00
15,0.0,55.41999816894531,1.3056505841856132,2.6931551301023404,131501,2023-01-02 07:00:00,2023-01-02 16:30:00
16,0.0,55.41999816894531,1.3964805603936696,2.927054179888646,128178,2023-01-02 07:30:00,2023-01-02 17:00:00
17,0.0,55.41999816894531,1.4846472516253648,3.146933151780038,124831,2023-01-02 08:00:00,2023-01-02 17:30:00
18,0.0,55.41999816894531,1.5398917798483636,3.255439227638467,123537,2023-01-02 08:30:00,2023-01-02 18:00:00
19,0.0,55.41999816894531,1.586949868652923,3.323650428207418,122228,2023-01-02 09:00:00,2023-01-02 18:30:00
20,0.0,55.41999816894531,1.6349367477506458,3.375834256771097,121314,2023-01-02 09:30:00,2023-01-02 19:00:00
21,0.0,55.41999816894531,1.6869772391567834,3.4506694750526097,120680,2023-01-02 10:00:00,2023-01-02 19:30:00
22,0.0,55.41999816894531,1.7212696577804398,3.4697404133716048,120287,2023-01-02 10:30:00,2023-01-02 20:00:00
23,0.0,55.41999816894531,1.764427493137036,3.5015044619050926,120038,2023-01-02 11:00:00,2023-01-02 20:30:00
24,0.0,55.41999816894531,1.7932106806879622,3.5270459790065494,119247,2023-01-02 11:30:00,2023-01-02 21:00:00
25,0.0,55.41999816894531,1.7397149863794101,3.3796522565029505,121423,2023-01-02 12:00:00,2023-01-02 21:30:00
26,0.0,43.40999984741211,1.6747806411418804,3.2210051434680445,123884,2023-01-02 12:30:00,2023-01-02 22:00:00
27,0.0,43.40999984741211,1.638379777531951,3.156284009628234,124736,2023-01-02 13:00:00,2023-01-02 22:30:00
28,0.0,43.40999984741211,1.6110525921780547,3.1160860656876346,124881,2023-01-02 13:30:00,2023-01-02 23:00:00
29,0.0,80.5,1.6096294416216899,5.137536809496099,68833,2023-01-03 00:00:00,2023-01-03 09:30:00
